#sample	Num_CNVs	Num_Auto_Del	Num_Auto_Dup	Num_ChrX_Del	Num_ChrX_Dup	Len_CNVs	Len_Auto_Del	Len_Auto_Dup	Len_ChrX_Del	Len_ChrX_Dup	Chrm_aberration
28086_KOTOS_g_Plate_No__34_GenomeWideSNP_6_B06_52346	2	2	0	0	0	125924	125924	0	0	0	
GW6_120108K_SS263_119706	5	3	2	0	0	505179	58481	446698	0	0	
COMPO_p_Cardiff_Trios_AffyP5_GenomeWideSNP_6_C01_501296	9	5	4	0	0	797681	680673	117008	0	0	
GHEES_p_Dublin_SCZ_Grp3_AffyP16_GenomeWideSNP_6_E01_163064	17	16	1	0	0	1085937	1064044	21893	0	0	
69284_KECKS_g_Plate_No__40_GenomeWideSNP_6_H07_63070	5	3	2	0	0	366818	202918	163900	0	0	
96498_RIYAL_g_Plate_No__19_GenomeWideSNP_6_A10_46790	3	3	0	0	0	83646	83646	0	0	0	
DROVE_g_Plate_18_GenomeWideSNP_6_G01_59990	9	4	4	1	0	827615	243200	396460	187955	0	
NG_68061_GRUBS_g_Plate_05_aff_GenomeWideSNP_6_G11_83542	7	0	7	0	0	270555	0	270555	0	0	
PEKES_p_Cardiff_Trios_AffyP14_GenomeWideSNP_6_H06_505890	3	3	0	0	0	178031	178031	0	0	0	
NG_10040_MERKS_g_Plate_31_GenomeWideSNP_6_D02_93596	5	2	3	0	0	2063675	240993	1822682	0	0	
FIBRE_p_Cardiff_Grp4_Affy_P1_GenomeWideSNP_6_D05_168018	2	2	0	0	0	112986	112986	0	0	0	
TAELS_p_Grp4_Redos_2_GenomeWideSNP_6_F09_196426	4	2	2	0	0	2949667	63648	2886019	0	0	
28505_KOTOS_g_Plate_No__34_GenomeWideSNP_6_H01_52278	9	4	5	0	0	393659	69083	324576	0	0	
ANNUL_g_Plate_No__13_GenomeWideSNP_6_C12_49706	7	5	2	0	0	3591082	2578645	1012437	0	0	
EMEUS_g_Plate_No__24_GenomeWideSNP_6_G11_50490	2	1	0	0	1	31975	10251	0	0	21724	
WRAPS_p_SwedSCZ_Batch1_Affy_10_GenomeWideSNP_6_A10_355300	1	1	0	0	0	114645	114645	0	0	0	
K5741_GenomeWideSNP_6	7	2	5	0	0	352093	109937	242156	0	0	
NEUME_p_Sweden_Affy_Wave4_P17_GenomeWideSNP_6_H02_515270	9	2	6	0	1	420452	65667	312090	0	42695	
JOYED_g_Plate_No__7_GenomeWideSNP_6_G07_46562	4	1	3	0	0	184850	14468	170382	0	0	
OVERS_p_Dublin_SCZ_Grp3_AffyP2_GenomeWideSNP_6_F04_162302	1	1	0	0	0	59842	59842	0	0	0	
MINCE_p_SwedSCZ_Batch1_Affy_15_GenomeWideSNP_6_H11_361998	3	0	3	0	0	179525	0	179525	0	0	
ea07057_0409_08b_genomewidesnp_6_k5131_n3	9	2	5	1	1	1400529	167853	1077859	19632	135185	
a520532_00_794965_012010_4067642_24038	3	1	2	0	0	354805	205172	149633	0	0	
NG_13884_QUIET_g_Plate_17_aff_GenomeWideSNP_6_H11_84504	5	3	2	0	0	343888	73943	269945	0	0	
271	7	2	4	0	1	229381	35603	162137	0	31641	
HAPPY_p_SwedSCZ_Batch1_Affy_12_GenomeWideSNP_6_F11_361758	2	1	1	0	0	87584	59465	28119	0	0	
COCOS_g_Plate_23_GenomeWideSNP_6_A10_60786	6	2	2	0	2	684820	23563	120455	0	540802	
276	3	3	0	0	0	116459	116459	0	0	0	
278	4	1	2	1	0	427782	14035	396765	16982	0	
JAPAN_p_ED_Grp3_SCZ_Affy_P1_GenomeWideSNP_6_D06_150472	4	1	3	0	0	491471	28003	463468	0	0	
NG_17621_BLEBS_g_Plate_12_aff_GenomeWideSNP_6_H09_81966	4	2	2	0	0	381190	54907	326283	0	0	
K5562	4	3	1	0	0	73434	62535	10899	0	0	
K5560	5	5	0	0	0	237296	237296	0	0	0	
BLOOD_42966_BLOOD_g_Plate_No__28_GenomeWideSNP_6_G08_50058	5	2	3	0	0	541266	192195	349071	0	0	
K5565	4	3	1	0	0	741703	602245	139458	0	0	
TOWNY_g_Plate_No__21_GenomeWideSNP_6_G12_47794	1	1	0	0	0	28706	28706	0	0	0	
86212_WROTE_g_Plate_No__36_GenomeWideSNP_6_D09_53166	4	2	2	0	0	426936	56388	370548	0	0	
SPUMY_g_Plate_28_GenomeWideSNP_6_H12_63656	4	1	3	0	0	331941	106008	225933	0	0	
6C_E11_BPDConsortium_092208	4	1	3	0	0	101144	17563	83581	0	0	
75319_KILIM_g_Plate_No__44_GenomeWideSNP_6_A12_63104	6	3	2	0	1	105320	61599	33466	0	10255	
NG_28128_REBEL_g_Plate_8_aff_GenomeWideSNP_6_E10_86042	5	3	2	0	0	333345	66471	266874	0	0	
MOTHY_p_Dublin_SCZ_Grp3_AffyP5_GenomeWideSNP_6_G09_164932	2	1	1	0	0	57663	24801	32862	0	0	
14013_MBIRA_g_Plate_No__23_GenomeWideSNP_6_B10_51040	3	1	0	0	2	126137	41466	0	0	84671	
TREYS_g_Plate_No__20_GenomeWideSNP_6_E02_48014	7	2	4	0	1	659644	51338	542356	0	65950	
AVERS_g_Plate_6_GenomeWideSNP_6_D12_56392	4	1	2	0	1	726387	26664	61108	0	638615	
CORSE_g_Plate_No__16_GenomeWideSNP_6_D02_46284	4	0	3	1	0	95166	0	82737	12429	0	
a520532_00_784741_033110_4069993_78117	1	0	1	0	0	18878	0	18878	0	0	
LIMEN_p_Dublin_SCZ_Grp3_AffyP6_GenomeWideSNP_6_E08_162940	2	0	2	0	0	138164	0	138164	0	0	
a520532_00_784741_033110_4069993_78110	2	1	1	0	0	98575	84923	13652	0	0	
TAELS_p_Grp4_Redos_2_GenomeWideSNP_6_G07_196446	4	2	2	0	0	461736	306355	155381	0	0	
SPUMY_g_Plate_28_GenomeWideSNP_6_D05_63546	8	1	7	0	0	1765841	40826	1725015	0	0	
st3212_GenomeWideSNP_6	58	57	1	0	0	2610916	2598201	12715	0	0	
a520532_00_794834_012010_4067642_22700	5	2	3	0	0	307199	48194	259005	0	0	
ea07057_0408_01h_genomewidesnp_6_u303	5	2	3	0	0	321179	38640	282539	0	0	
a520532_00_798656_043010_4071875_04527	9	2	6	1	0	215125	53512	148089	13524	0	
INGLE_10056_INGLE_g_Plate_No__27_GenomeWideSNP_6_H09_50844	3	1	2	0	0	127976	17196	110780	0	0	
GAMPS_p_SwedSCZ_Batch1_Affy_14_GenomeWideSNP_6_A09_361442	4	1	1	2	0	375228	35482	25406	314340	0	
MAXES_g_Plate_No__12_GenomeWideSNP_6_E04_49006	4	3	0	1	0	71901	56225	0	15676	0	
JOYED_g_Plate_No__7_GenomeWideSNP_6_F01_46464	5	2	3	0	0	352199	113540	238659	0	0	
NG_78101_GRUBS_g_Plate_05_aff_GenomeWideSNP_6_H06_83464	4	3	1	0	0	149245	135382	13863	0	0	
1517BPR0605_20100921_GWS6	6	2	4	0	0	865481	598403	267078	0	0	
GAZAR_p_Sweden_Affy_Wave4_P6_GenomeWideSNP_6_E09_512734	1	1	0	0	0	26990	26990	0	0	0	
CRAVE_g_Plate_No__25_GenomeWideSNP_6_F10_50280	5	1	4	0	0	257936	24190	233746	0	0	
TREYS_g_Plate_No__20_GenomeWideSNP_6_G12_48178	3	3	0	0	0	123750	123750	0	0	0	
RIYAL_g_Plate_No__19_GenomeWideSNP_6_C03_46682	2	1	1	0	0	122709	33187	89522	0	0	
